cocktail,ingredients,recipie
Cosmopolitan,"['Absolut Citron', 'Lime juice', 'Cointreau', 'Cranberry juice']",Add all ingredients into cocktail shaker filled with ice. Shake well and double strain into large cocktail glass. Garnish with lime wheel.
Margarita,"['Tequila', 'Triple sec', 'Lime juice', 'Salt']","Rub the rim of the glass with the lime slice to make the salt stick to it. Take care to moisten only the outer rim and sprinkle the salt on it. The salt should present to the lips of the imbiber and never mix into the cocktail. Shake the other ingredients with ice, then carefully pour into the glass."
Mojito,"['Light rum', 'Lime', 'Sugar', 'Mint', 'Soda water']",Muddle mint leaves with sugar and lime juice. Add a splash of soda water and fill the glass with cracked ice. Pour the rum and top with soda water. Garnish and serve with straw.
Old Fashioned,"['Bourbon', 'Angostura bitters', 'Sugar', 'Water']","Place sugar cube in old fashioned glass and saturate with bitters, add a dash of plain water. Muddle until dissolved.
Fill the glass with ice cubes and add whiskey.

Garnish with orange twist, and a cocktail cherry."
Pina Colada,"['Light rum', 'Coconut milk', 'Pineapple']","Mix with crushed ice in blender until smooth. Pour into chilled glass, garnish and serve."
Irish Coffee,"['Irish whiskey', 'Coffee', 'Sugar', 'Whipped cream']","Heat the coffee, whiskey and sugar; do not boil. Pour into glass and top with cream; serve hot."
Moscow Mule,"['Vodka', 'Lime juice', 'Ginger ale']",Combine vodka and ginger beer in a highball glass filled with ice. Add lime juice. Stir gently. Garnish.
Mimosa,"['Champagne', 'Orange juice']","Ensure both ingredients are well chilled, then mix into the glass. Serve cold."
Aperol Spritz,"['Aperol', 'Prosecco', 'Soda Water', '', '', '', '']","Put a couple of cubes of ice into 2 glasses and add a 50 ml measure of Aperol to each. Divide the prosecco between the glasses and then top up with soda, if you like."
Bloody Mary,"['Vodka', 'Tomato juice', 'Lemon juice', 'Worcestershire sauce', 'Tabasco sauce', 'Lime']","Stirring gently, pour all ingredients into highball glass. Garnish."
